last,first,birth,death,author,title,vol,publisher,date,page,portrait,call_number,name,book,code
Ader,Grant,,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,15,p,Day-NW F745.R5,"Ader, Grant","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 15. [includes portrait]",Fiddlers
Ader,Wendell,1944,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,15,p,Day-NW F745.R5,"Ader, Wendell","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 15. [includes portrait]",Fiddlers
Ader,Grant,,,,Idaho Oldtime Fiddlers,,"Boise, Id., The Idaho Old Time Fiddlers' Association",1963,15,,Day-NW F745R5,"Ader, Grant","Idaho Oldtime Fiddlers (Boise, Id., The Idaho Old Time Fiddlers' Association), 1963. p. 15. ",IOF
Ader,Wendell,1944,,,Idaho Oldtime Fiddlers,,"Boise, Id., The Idaho Old Time Fiddlers' Association",1963,15,,Day-NW F745R5,"Ader, Wendell","Idaho Oldtime Fiddlers (Boise, Id., The Idaho Old Time Fiddlers' Association), 1963. p. 15. ",IOF
Adkins,Oria,1904,1960,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,206,p,Day-NW F752B677B43,"Adkins, Oria","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 206. [includes portrait]",Bonner
Adkins,James,1918,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,135,p,Day-NW F745.R5,"Adkins, James","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 135. [includes portrait]",Fiddlers
Adkison,John Riley,1850,1914,"Chedsey, Zona & Frei, Carolyn",Idaho County Voices: A people's history from the pioneers to the present,,Idaho county centennial committee,1990,189,p,Day-NW F752.I2I32 1990,"Adkison, John Riley","Chedsey, Zona & Frei, Carolyn. Idaho County Voices: A people's history from the pioneers to the present (Idaho county centennial committee), 1990. p. 189. [includes portrait]",Idaho County
Adkison,John R,1850,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,507,,Day-NW Oversize F746I4,"Adkison, John R","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 507. ",ILLUS
Adkison,Harriet Brown,,,"Penson-Ward, Betty",Who's Who Of Idaho Women of the Past,,"Boise, ID, Idaho Commission on Women's Programs",1981,1,,Idaho F745P4 1981,"Adkison, Harriet Brown","Penson-Ward, Betty. Who's Who Of Idaho Women of the Past (Boise, ID, Idaho Commission on Women's Programs), 1981. p. 1. ",Penson-Ward
Adsitt,Franklin,,,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,206,,Day-NW F752B677B43,"Adsitt, Franklin","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 206. ",Bonner
Adsley,Elijah,1849,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,557,,Day-NW Oversize F746I4,"Adsley, Elijah","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 557. ",ILLUS
Affleck,William R,1885,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1051,,Day-NW F746F87,"Affleck, William R","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1051. ",FRENCH
Agee,William M,1938,,"Beck, Richard J",100 Famous Idahoans,,"Moscow, ID",1989,1,p,Day-NW F745B421989,"Agee, William M","Beck, Richard J. 100 Famous Idahoans (Moscow, ID), 1989. p. 1. [includes portrait]",Beck
Agenbroad,Carl,,,"Ransel, Sandra and Durand Charles",Crossroads: A history of the elmore county area,,"Elmore county historical research team, Mtn Home, Idaho",1985,147,,Day-NW F752E4R35,"Agenbroad, Carl","Ransel, Sandra and Durand Charles. Crossroads: A history of the elmore county area (Elmore county historical research team, Mtn Home, Idaho), 1985. p. 147. ",Crossroads
Agenbroad,Earnest,,,"Ransel, Sandra and Durand Charles",Crossroads: A history of the elmore county area,,"Elmore county historical research team, Mtn Home, Idaho",1985,147,,Day-NW F752E4R35,"Agenbroad, Earnest","Ransel, Sandra and Durand Charles. Crossroads: A history of the elmore county area (Elmore county historical research team, Mtn Home, Idaho), 1985. p. 147. ",Crossroads
Agenbroad,Ronald Carl,1943,,"Ransel, Sandra and Durand Charles",Crossroads: A history of the elmore county area,,"Elmore county historical research team, Mtn Home, Idaho",1985,147,,Day-NW F752E4R35,"Agenbroad, Ronald Carl","Ransel, Sandra and Durand Charles. Crossroads: A history of the elmore county area (Elmore county historical research team, Mtn Home, Idaho), 1985. p. 147. ",Crossroads
Agnew,Frances A Call,1843,1931,Idaho State Historical Society,Biennial Report,13,"Boise, Id.",1908-1950,130,,Idaho F741B5,"Agnew, Frances A Call","Idaho State Historical Society. Biennial Report, v. 13 (Boise, Id.), 1908-1950. p. 130. ",IHS
Agnew,James D,1869,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,71,,Day-NW F745P97,"Agnew, James D","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 71. ",PROG S
Aguirre,Domingo,,1966,"Ransel, Sandra and Durand Charles",Crossroads: A history of the elmore county area,,"Elmore county historical research team, Mtn Home, Idaho",1985,121,p,Day-NW F752E4R35,"Aguirre, Domingo","Ransel, Sandra and Durand Charles. Crossroads: A history of the elmore county area (Elmore county historical research team, Mtn Home, Idaho), 1985. p. 121. [includes portrait]",Crossroads
Aguirre,Domingo,,,"Ransel, Sandra and Durand Charles",Crossroads: A history of the elmore county area,,"Elmore county historical research team, Mtn Home, Idaho",1985,148,,Day-NW F752E4R35,"Aguirre, Domingo","Ransel, Sandra and Durand Charles. Crossroads: A history of the elmore county area (Elmore county historical research team, Mtn Home, Idaho), 1985. p. 148. ",Crossroads
Aguirre,Domingo M.,,,"Ransel, Sandra and Durand Charles",Crossroads: A history of the elmore county area,,"Elmore county historical research team, Mtn Home, Idaho",1985,148,p,Day-NW F752E4R35,"Aguirre, Domingo M.","Ransel, Sandra and Durand Charles. Crossroads: A history of the elmore county area (Elmore county historical research team, Mtn Home, Idaho), 1985. p. 148. [includes portrait]",Crossroads
Ah Fong,C. K,1844,1927,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,379,,Day-NW F746H39,"Ah Fong, C. K","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 379. ",Hawley
Aherin,Clarence W,1904,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,385,,Day-NW F746B335,"Aherin, Clarence W","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 385. ",B&W
Aherin,Kenneth E,1917,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,369,,Day-NW F746B335,"Aherin, Kenneth E","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 369. ",B&W
Ahfong,C. K,1844,1927,Idaho State Historical Society,Biennial Report,11,"Boise, Id.",1908-1950,84,,Idaho F741B5,"Ahfong, C. K","Idaho State Historical Society. Biennial Report, v. 11 (Boise, Id.), 1908-1950. p. 84. ",IHS
Ahlers,Anna Marie Ross,,,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,207,p,Day-NW F752B677B43,"Ahlers, Anna Marie Ross","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 207. [includes portrait]",Bonner
Ahlers,Cleo J,,,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,207,p,Day-NW F752B677B43,"Ahlers, Cleo J","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 207. [includes portrait]",Bonner
Aiakan,,ca. 1800,ca. 1880,,Encyclopedia of Idaho,,"Santa Barbara, Somerset, Inc",2001,141,,Day-NW F744.E52 2001,Aiakan,"Encyclopedia of Idaho (Santa Barbara, Somerset, Inc), 2001. p. 141. ",Encyclopedia
Aidridge,Herbert,1871,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,720,,Day-NW F746H39,"Aidridge, Herbert","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 720. ",HAWLEY
Aiken,Ira L,1869,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,613,,Day-NW F746H39,"Aiken, Ira L","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 613. ",HAWLEY
Aiken,Samuel D,,,,History of Idaho Territory showing its resources and advantages,,"San Francisco, Wallace W. Elliott & co.",1884,255,,Day-NW Oversize F746H67,"Aiken, Samuel D","History of Idaho Territory showing its resources and advantages (San Francisco, Wallace W. Elliott & co.), 1884. p. 255. ",HIT
Aikman,Robert,1852,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,912,,Day-NW F745P97,"Aikman, Robert","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 912. ",PROG S
Ailshie,Margaret Cobb,1886,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,518,,Day-NW F746B335,"Ailshie, Margaret Cobb","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 518. ",B&W
Ailshie,James Franklin,1868,,"Defenbach, Byron","Idaho, the place and its people",3,"Chicago, The American Historical Society, Inc.",1933,429,,Day-NW F746D36,"Ailshie, James Franklin","Defenbach, Byron. Idaho, the place and its people, v. 3 (Chicago, The American Historical Society, Inc.), 1933. p. 429. ",DEFENBACH
Ailshie,James Franklin,1868,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,228,,Day-NW F746H39,"Ailshie, James Franklin","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 228. ",HAWLEY
Ailshie,James Franklin,1868,,,Illustrated History of the State of Idaho,,"Chicago, The Lewis Pub. Co.",1899,317,,Day-NW Oversize F746I42,"Ailshie, James Franklin","Illustrated History of the State of Idaho (Chicago, The Lewis Pub. Co.), 1899. p. 317. ",IDAHO
Ailshie,James Franklin,1868,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,550,,Day-NW Oversize F746I4,"Ailshie, James Franklin","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 550. ",ILLUS
Ailshie,Margaret Cobb,1886,,"Penson-Ward, Betty",Who's Who Of Idaho Women of the Past,,"Boise, ID, Idaho Commission on Women's Programs",1981,1,,Idaho F745P4 1981,"Ailshie, Margaret Cobb","Penson-Ward, Betty. Who's Who Of Idaho Women of the Past (Boise, ID, Idaho Commission on Women's Programs), 1981. p. 1. ",Penson-Ward
Ainslie,George,1838,1913,,Illustrated History of the State of Idaho,,"Chicago, The Lewis Pub. Co.",1899,82,,Day-NW Oversize F746I42,"Ainslie, George","Illustrated History of the State of Idaho (Chicago, The Lewis Pub. Co.), 1899. p. 82. ",IDAHO
Ainslie,George,1838,1913,Idaho State Historical Society,Biennial Report,22,"Boise, Id.",1908-1950,11,,Idaho F741B5,"Ainslie, George","Idaho State Historical Society. Biennial Report, v. 22 (Boise, Id.), 1908-1950. p. 11. ",IHS
Ainslie,George,1838,1913,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,76,p,Day-NW F745P97,"Ainslie, George","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 76. [includes portrait]",PROG S
Ake,Franklin P.,1857,1917,"Groefsema, Olive",Elmore county: Its historical gleanings,,"The Caxton Printers, Ltd., Caldwell, Idaho",1949,245,,Day-NW F752E4G7,"Ake, Franklin P.","Groefsema, Olive. Elmore county: Its historical gleanings (The Caxton Printers, Ltd., Caldwell, Idaho), 1949. p. 245. ",Elmore
Ake,Franklin P,1857,,,Illustrated History of the State of Idaho,,"Chicago, The Lewis Pub. Co.",1899,256,,Day-NW Oversize F746I42,"Ake, Franklin P","Illustrated History of the State of Idaho (Chicago, The Lewis Pub. Co.), 1899. p. 256. ",IDAHO
Akers,Earl,1889,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,14,,Day-NW F745.R5,"Akers, Earl","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 14. ",Fiddlers
Akins,J. E,1866,,"Defenbach, Byron","Idaho, the place and its people",3,"Chicago, The American Historical Society, Inc.",1933,426,,Day-NW F746D36,"Akins, J. E","Defenbach, Byron. Idaho, the place and its people, v. 3 (Chicago, The American Historical Society, Inc.), 1933. p. 426. ",DEFENBACH
Akins,Sage,1868,,"Defenbach, Byron","Idaho, the place and its people",3,"Chicago, The American Historical Society, Inc.",1933,162,,Day-NW F746D36,"Akins, Sage","Defenbach, Byron. Idaho, the place and its people, v. 3 (Chicago, The American Historical Society, Inc.), 1933. p. 162. ",DEFENBACH
Aland,Ellen Sarah Harding,1811,1880,"Haddock, Edith Parker and Dorothy Hardy Matthews",History of Bear Lake Pioneers,,"Paris, Idaho, Daughters of Utah Pioneers",1968,1,,Day-NW F752B3P47,"Aland, Ellen Sarah Harding","Haddock, Edith Parker and Dorothy Hardy Matthews. History of Bear Lake Pioneers (Paris, Idaho, Daughters of Utah Pioneers), 1968. p. 1. ",Bear
Aland,Leona Morris,1910,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,1,p,Day-NW F752.C55S48 1992,"Aland, Leona Morris","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 1. [includes portrait]",Silver
Alastra,Jose,1871,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,882,p,Day-NW F746H39,"Alastra, Jose","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 882. [includes portrait]",HAWLEY
Albano,Bob,,1960,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,2,p,Day-NW F752.C55S48 1992,"Albano, Bob","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 2. [includes portrait]",Silver
Albano,Jay,,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,3,p,Day-NW F752.C55S48 1992,"Albano, Jay","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 3. [includes portrait]",Silver
Albano,Sidney C.,,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,4,p,Day-NW F752.C55S48 1992,"Albano, Sidney C.","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 4. [includes portrait]",Silver
Albaugh,Ralph L,1893,,"Defenbach, Byron","Idaho, the place and its people",3,"Chicago, The American Historical Society, Inc.",1933,37,,Day-NW F746D36,"Albaugh, Ralph L","Defenbach, Byron. Idaho, the place and its people, v. 3 (Chicago, The American Historical Society, Inc.), 1933. p. 37. ",DEFENBACH
Albee,Dan Putnam,1856,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1303,,Day-NW F746F87,"Albee, Dan Putnam","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1303. ",FRENCH
Albee,Dan Putnam,1856,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,322,,Day-NW F746H39,"Albee, Dan Putnam","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 322. ",HAWLEY
Alber,Adam,1831,1912,"Ingle, Gerald",Gleanings from Big Bear Ridge,,"Moscow, Latah County Historical Society",1982,71,p,Day-NW F752B5G7,"Alber, Adam","Ingle, Gerald. Gleanings from Big Bear Ridge (Moscow, Latah County Historical Society), 1982. p. 71. [includes portrait]",Ingle
Alber,Otto,,1965,"Ingle, Gerald",Gleanings from Big Bear Ridge,,"Moscow, Latah County Historical Society",1982,73,p,Day-NW F752B5G7,"Alber, Otto","Ingle, Gerald. Gleanings from Big Bear Ridge (Moscow, Latah County Historical Society), 1982. p. 73. [includes portrait]",Ingle
Albert,Maternus F,1859,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1241,,Day-NW F746F87,"Albert, Maternus F","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1241. ",FRENCH
Albert,Maternus F,1859,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,890,p,Day-NW F746H39,"Albert, Maternus F","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 890. [includes portrait]",HAWLEY
Albert,Lester,,1944,Idaho State Historical Society,Biennial Report,19,"Boise, Id.",1908-1950,17,p,Idaho F741B5,"Albert, Lester","Idaho State Historical Society. Biennial Report, v. 19 (Boise, Id.), 1908-1950. p. 17. [includes portrait]",IHS
Albert,"""Cowboy Jo""",,,"Yarber, Esther",Stanley-Sawtooth country,,"Publishers Press, Salt Lake city, Utah",1976,369,,Day-NW F752.C9Y33,"Albert, ""Cowboy Jo""","Yarber, Esther. Stanley-Sawtooth country (Publishers Press, Salt Lake city, Utah), 1976. p. 369. ",Stanley
Alberts,George H.,1862,1925,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,176,,Day-NW F752B73H57 1987,"Alberts, George H.","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 176. ",Boundary
Albertson,Joseph A,1906,,"Beck, Richard J",100 Famous Idahoans,,"Moscow, ID",1989,2,p,Day-NW F745B421989,"Albertson, Joseph A","Beck, Richard J. 100 Famous Idahoans (Moscow, ID), 1989. p. 2. [includes portrait]",Beck
Albertson,Joe,1907,1993,,Encyclopedia of Idaho,,"Santa Barbara, Somerset, Inc",2001,142,,Day-NW F744.E52 2001,"Albertson, Joe","Encyclopedia of Idaho (Santa Barbara, Somerset, Inc), 2001. p. 142. ",Encyclopedia
Albertson,Joseph A (Joe),1906,,"Cosho, Maude L",An Idaho Hodgepodge,,Boise,1981,216,p,Day-NW F746 C67,"Albertson, Joseph A (Joe)","Cosho, Maude L. An Idaho Hodgepodge (Boise), 1981. p. 216. [includes portrait]",IdahoHodgepodge
Albertson,Kathryn McCurry (Kay)(Mrs Joseph A),1908,,"Cosho, Maude L",An Idaho Hodgepodge,,Boise,1981,216,p,Day-NW F746 C67,"Albertson, Kathryn McCurry (Kay)(Mrs Joseph A)","Cosho, Maude L. An Idaho Hodgepodge (Boise), 1981. p. 216. [includes portrait]",IdahoHodgepodge
Albertson,Charles,1845,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,36,,Day-NW F745P97,"Albertson, Charles","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 36. ",PROG S
Albertson,Hilda Cook,1890,1948,"Garrett, Tressa Murdoch","History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990",,Idaho,1992,130,p,Day-NW F752.F8G37 1992,"Albertson, Hilda Cook","Garrett, Tressa Murdoch. History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990 (Idaho), 1992. p. 130. [includes portrait]",Upland
Albertson,Mark,1924,,"Garrett, Tressa Murdoch","History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990",,Idaho,1992,131,p,Day-NW F752.F8G37 1992,"Albertson, Mark","Garrett, Tressa Murdoch. History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990 (Idaho), 1992. p. 131. [includes portrait]",Upland
